Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
2309557,SERV MARITIMOS,SMT 010124JKA,AV LOPEZ PORTILLO MZ93 LT47 SN,SUPERMANZANA 99,77536,CANCUN QROO,QUINTANA ROO,89995093,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3863248,GAS SAN MIGUEL,CSM 0805129J6,AV PROL LT 10,JUAN BAUTISTA DE LA VEGA,77645,COZUMEL QROO,QUINTANA ROO,78720448,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2334001,SERV COSTA AZUL T1,SCA01021291A,AV PRO BONAMP MZA24 LT 02 1 SN,REGION 99,77536,CANCUN QROO,QUINTANA ROO,89995093,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2353225,SERV TORRE BLANCA,STB 0407148M9,SM73M01L77 02 X AV LOMBAR SN,SUPERMANZANA 73,77510,CANCUN QROO,QUINTANA ROO,88919756,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2048098,ASA COZUMEL,ASA6506102U9,ANTONIO GLZ FERNANDEZ SN,COZUMEL INTERNACIONAL DE COZUM,77609,COZUMEL QROO,QUINTANA ROO,8724916,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3468311,GASOL CORRALEJO,ICO 050405LD2,MZ 119 AV CONST LT 1 F 2 SN,CIUDAD PLAYA DEL CARMEN,77710,SOLIDARIDAD QROO,QUINTANA ROO,48039434,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2283406,ESTACION TALLERES,ETA 001019693,MZA 6 LTE 6 SN,REG 210,77510,CANCUN QROO,QUINTANA ROO,88289532,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2283901,GAS CIMARRON,GCI 990420H68,AV BONAMPAK M1 LO 6 7 Y 8 SN,SUPERMANZANA 68,77524,CANCUN QROO,QUINTANA ROO,88843060,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2284016,SERV KOHULICH,SKO 0011096X7,MZA 1 LT 1 SN,SUPERMANZANA 49 50 Y 55,77533,CANCUN QROO,QUINTANA ROO,82063294,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
2284024,SERV MAR PROFUNDO,SMP 001129S40,AV NINOS HEROES MZA 10 LTE1 SN,REGION 233,77510,CANCUN QROO,QUINTANA ROO,88933915,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3666070,SERV DOS MUNDOS,SDM 0502116U9,AV JUAREZ MZ 32 LT 8 SN,CIUDAD PLAYA DEL CARMEN,77710,SOLIDARIDAD QROO,QUINTANA ROO,48039746,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4028464,GAS INDUSTRIAS CANC,AIC 0604286G6,PROGRESO MZ 2 LT 1 EDIF 712,SUPERMANZANA 32,77508,CANCUN QROO,QUINTANA ROO,88873479,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
2309540,SERV COSTA AZUL T,SCA 01021291A,AV CANCUN LOTE2 MZA 7 SN,REGION 509,77533,CANCUN QROO,QUINTANA ROO,82087008,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
4008067,Z GAS,GCA 741210IJ6,AV TULUM MZ. 45 LT. 17,SUPERMANZANA 23 CENTRO,77500,BENITO JUAREZ QROO,QUINTANA ROO,88813125,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
4038349,GAS INDUST CANCUN 1,AIC 0604286G6,AV KABAH PROGRESO MZ4 LT9,CANCUN CENTRO,77500,BENITO JUAREZ QROO,QUINTANA ROO,88873479,5983,"DISTRIBUIDOR DE  - GAS LICUADO,(DISTRIBUIDOR DE  - LENA),(DISTRIBUIDOR DE  - DIESEL, PETROLEO),(DISTRIBUIDOR DE  - CARBON),"
3322682,GASO SERV CANCUN,PCA 930315M39,SMZ 70 MZ 2 LT 20 27 Y 34 SN,SUPERMANZANA 70,77510,CANCUN QROO,QUINTANA ROO,3709671,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
3831054,GAS CENTROPLAYA DEL C,CSQ 780524D56,AV JUAREZ X45 AV NTE C 2 NTE,CIUDAD PLAYA DEL CARMEN,77710,SOLIDARIDAD QROO,QUINTANA ROO,8730126,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
