Afiliacion,Comercio,RFC,Domicilio,Colonia,Codigo Postal,Municipio,Estado,Telefonos,Giro,Giro Comercial
8520164,GASOL SERVI REGIO DIEZ,SRD 1206151B8,CARR PLAYAS CATAZAJA PALENQUE,PAKAL NA,29960,PALENQUE CHIS,CHIAPAS,3102860,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7920710,GASOL LOS GEMELOS,GGE 140715HY3,CRR TUXTLA SUCHIAPA KM 25,SUCHIAPA,29150,SUCHIAPA CHIS,CHIAPAS,11721284,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7643772,GASOL LA ROCA,HEBA5608295U6,CARR HUITIHUPAN SN KM L 0,SIMOJOVEL DE ALLENDE,29820,SIMOJOVEL CHIS,CHIAPAS,96850901,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7966653,GASOL IZAPA,GIZ130626121,LIB SUR CRUC CAM PITA KM 8 SN,LA JOYA,30786,TAPACHULA CHIS,CHIAPAS,6254500,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7986588,GASOL LA PEREGRINA 4,IEA 9907309L2,C TUX L CH KM LD NO 188 D L235,BERRIOZABAL,29130,BERRIOZABAL CHIS,CHIAPAS,12330054,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7986600,GAS PARADOR LA PEREGR,IEA9907309L2,C TUX L CH KM LB NO 188 B L235,BERRIOZABAL,29130,BERRIOZABAL CHIS,CHIAPAS,13240560,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7660560,GAS YAXCHILAN I,MYA 090828188,CARR PALENQ PAKAL NA SN NO 436,GUAYACAN LA LOMITA,29960,PALENQUE CHIS,CHIAPAS,66111364,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7679050,GASOL OP PALENQUE B7,ESA 930602UV1,PALENQUEO COSINGO KM 55 SN,PALENQUE,29960,PALENQUE CHIS,CHIAPAS,3451585,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
7679174,GASOL AUTO PALENQUE B8,ESA 930602UV1,AV JUAREZ NO 199,PALENQUE CENTRO,29960,PALENQUE CHIS,CHIAPAS,3450124,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
8569257,GASOL OPER TONINA,OTO981205JW4,CAR INTNAL KM 145 NO 200,OCOSINGO,29950,OCOSINGO CHIS,CHIAPAS,6731177,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
8021273,GASOL GASOEXPRES,MIBP540924SL8,CRR TUXT A VILLAFLO KM NO 84 5,LA CONCEPCION,30470,VILLAFLORES CHIS,CHIAPAS,56553247,5541,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)"
